,open,high,low,close,volume
2010-01-04,28.02631007358185,28.153426978421532,27.87288309516032,28.0,2081776
2010-01-05,28.204607130967684,28.277433405333085,27.9271737256346,28.0,1331711
2010-01-06,28.159037360862396,28.2629651914078,27.896072169454595,28.0,1304219
2010-01-07,27.814546616708842,28.17462395381068,27.63992266289816,28.0,1085735
2010-01-08,27.82865911481179,28.220682778629595,27.607976336182194,28.0,1596574
2010-01-11,28.07899574553681,28.445436585612555,27.633559159924257,28.0,2578508
2010-01-12,28.12099728318949,28.3856446512998,27.73535263188969,28.0,3087389
2010-01-13,27.91321615732307,28.02774817844296,27.88546797888011,28.0,2605358
2010-01-14,27.8331027282657,28.126983606632603,27.706119121633098,28.0,1495217
2010-01-15,28.01159686065175,28.261056777046416,27.750540083605333,28.0,1812404
2010-01-18,28.065512454746397,28.279192100203275,27.786320354543122,28.0,2173042
2010-01-19,27.97694997344026,28.081565685804975,27.895384287635284,28.0,2574661
2010-01-20,27.77774095595833,28.1490518996805,27.62868905627783,28.0,1208878
2010-01-21,27.953226393188785,28.091236015637794,27.861990377550992,28.0,2992934
2010-01-22,27.87496948939766,28.041075161476005,27.833894327921655,28.0,5348877
2010-01-25,27.880419605553833,28.318346450202622,27.56207315535121,28.0,2217050
2010-01-26,27.67895897579616,28.004206465363673,27.674752510432487,28.0,2112370
2010-01-27,27.951233800091018,28.06539821821855,27.885835581872467,28.0,1631650
2010-01-28,27.92102145714773,28.425348812367044,27.495672644780687,28.0,3401158
2010-01-29,28.22818122070629,28.45202120394458,27.77616001676171,28.0,3430206
2010-02-01,27.9347374098998,28.196056227992738,27.73868118190706,28.0,1444950
2010-02-02,27.892024152148473,28.073397510867018,27.818626641281455,28.0,1869948
2010-02-03,27.991524684662863,28.12825295201598,27.863271732646883,28.0,1803341
2010-02-04,28.1420329625677,28.269373648865965,27.872659313701735,28.0,2139227
2010-02-05,28.004980042531916,28.1050932034971,27.899886839034817,28.0,2252030
2010-02-08,27.818798628415212,28.395292674712916,27.423505953702296,28.0,2881531
2010-02-09,27.884146233806227,28.151176931608777,27.73296930219745,28.0,2942360
2010-02-10,27.988462587749595,28.059538647609983,27.92892394013961,28.0,2147217
2010-02-11,28.22770852804507,28.301566901003245,27.926141627041826,28.0,2042311
2010-02-12,27.904442186140425,28.31016434361851,27.594277842521915,28.0,2640378
2010-02-15,27.89885220301987,28.269981331025114,27.628870871994756,28.0,2216193
2010-02-16,27.90862231647714,28.198764760711416,27.709857555765723,28.0,2882146
2010-02-17,27.967296880820783,28.084405178352494,27.88289170246829,28.0,1587330
2010-02-18,27.912345160403312,28.05425459799836,27.858090562404954,28.0,2271577
2010-02-19,28.00532960524314,28.15454717230333,27.85078243293981,28.0,3772001
2010-02-22,27.91803338590047,28.12290287920067,27.7951305066998,28.0,2551044
2010-02-23,27.958140225546504,28.145617792236497,27.812522433310008,28.0,1258830
2010-02-24,27.952788304360105,28.20274048577714,27.750047818582964,28.0,2243430
2010-02-25,27.925103584391774,28.246029828504803,27.67907375588697,28.0,2837695
2010-02-26,27.938183560566173,28.41498931680824,27.523194243757935,28.0,1759243
2010-03-01,27.882985843266972,28.222007381959656,27.660978461307316,28.0,2686529
2010-03-02,28.02760205871107,28.119562151818222,27.90803990689285,28.0,1743213
2010-03-03,28.05010166551085,28.309912530747376,27.740189134763476,28.0,2623507
2010-03-04,28.128399494885606,28.352887752266444,27.775511742619162,28.0,1695176
2010-03-05,28.01260554542892,28.071800274219136,27.940805271209783,28.0,1942261
2010-03-08,28.189317083593142,28.367246571278752,27.82207051231439,28.0,2397171
2010-03-09,27.746550956904418,28.07641503162547,27.67013592527895,28.0,2519919
2010-03-10,27.857090578359784,28.0207126893934,27.836377888966386,28.0,1149875
2010-03-11,28.166037750932155,28.38741214164687,27.778625609285285,28.0,1851856
2010-03-12,28.286311279866915,28.47444754641891,27.811863733448003,28.0,2194610
2010-03-15,28.08641308410332,28.30210089844968,27.78431218565364,28.0,1597852
2010-03-16,27.734165680780688,28.062906103219206,27.671259577561482,28.0,1559929
2010-03-17,28.004232844552227,28.116972271554197,27.88726057299803,28.0,1575740
2010-03-18,27.851364318038623,28.168606083095444,27.68275823494318,28.0,1440360
2010-03-19,27.98056353741567,28.085575452377185,27.894988085038484,28.0,2305540
2010-03-22,27.965109905767683,28.087897832086895,27.877212073680788,28.0,1612289
2010-03-23,27.89641639123583,28.276140670456346,27.620275720779485,28.0,2259859
2010-03-24,28.12382701342829,28.276375171571406,27.847451841856884,28.0,1335590
2010-03-25,27.773686557196864,28.05256124398543,27.721125313211434,28.0,1104439
2010-03-26,28.203731333640437,28.425483841162116,27.77824749247832,28.0,3172083
2010-03-29,27.680987495119528,28.127570685790417,27.55341680932911,28.0,3468838
2010-03-30,27.955901229445086,28.190689007072343,27.765212222372742,28.0,1893711
2010-03-31,27.972235680945218,28.02168710502349,27.95054857592173,28.0,2737015
2010-04-01,28.06591098683346,28.319081234891947,27.746829751941515,28.0,1787160
2010-04-02,28.042117912889466,28.251009322707013,27.791108590182453,28.0,2186440
2010-04-05,27.79040184221048,28.03948100632273,27.750920835887747,28.0,2492936
2010-04-06,27.854352016375028,28.387520570162685,27.466831446212343,28.0,1234336
2010-04-07,28.2404495279899,28.393084636542767,27.847364891447132,28.0,2914830
2010-04-08,28.042090711999872,28.27997209043578,27.762118621564092,28.0,2037502
2010-04-09,27.81325972061734,28.00057770126982,27.81268201934752,28.0,1929219
2010-04-12,27.863130078329352,28.279413172183645,27.583716906145707,28.0,2224039
2010-04-13,27.688825544144123,28.18759768997788,27.501227854166242,28.0,1756299
2010-04-14,27.89049132092419,28.32734256259525,27.563148758328943,28.0,1515152
2010-04-15,27.93336492920191,28.175562210208746,27.757802718993165,28.0,1084729
2010-04-16,27.935478592930412,28.171858509525503,27.76362008340491,28.0,1802686
2010-04-19,27.800579764402688,28.126639820633322,27.673939943769366,28.0,1871437
2010-04-20,28.114657582465846,28.28719970739917,27.827457875066674,28.0,2203322
2010-04-21,28.099023625116594,28.355444767874555,27.74357885724204,28.0,2300803
2010-04-22,27.741486459089884,28.111876749564395,27.62960970952549,28.0,1646782
2010-04-23,27.923415965767155,28.238190978254046,27.68522498751311,28.0,1868188
2010-04-26,28.02195233227711,28.08448877121895,27.93746356105816,28.0,2726996
2010-04-27,28.056294327981654,28.24024735557862,27.816046972403033,28.0,3304199
2010-04-28,28.115411533804767,28.19235701153341,27.923054522271357,28.0,1068403
2010-04-29,27.67359266952338,28.193802298600616,27.479790370922764,28.0,2700012
2010-04-30,28.16305831981923,28.423268518241347,27.73978980157788,28.0,3078367
2010-05-03,28.03410883944816,28.08900002301153,27.94510881643663,28.0,1833196
2010-05-04,27.89534067875948,28.051888019230635,27.843452659528847,28.0,1621247
2010-05-05,27.994842520618505,28.474395783168998,27.520446737449507,28.0,1170401
2010-05-06,27.66976056219718,28.247665561550487,27.422095000646692,28.0,2348892
2010-05-07,28.307699505739315,28.427454142040393,27.880245363698922,28.0,2460766
2010-05-10,28.077947550091558,28.091937073829463,27.986010476262095,28.0,1741900
2010-05-11,28.067090855753804,28.08743046982095,27.979660385932853,28.0,1792579
2010-05-12,28.021666317685707,28.189065395546542,27.832600922139164,28.0,2343394
2010-05-13,27.871935621856654,28.09442412310451,27.777511498752144,28.0,1302622
2010-05-14,28.07048427468539,28.16840596570965,27.902078308975742,28.0,1864029
2010-05-17,27.95746561589993,28.15730425304176,27.80016136285817,28.0,2611744
2010-05-18,27.81671829878463,28.16085097452973,27.6558673242549,28.0,1909899
2010-05-19,27.935613297473537,28.41049484918551,27.525118448288026,28.0,1931515
2010-05-20,28.36652029394906,28.38109313868673,27.98542715526233,28.0,2413892
2010-05-21,28.143997708628756,28.211825868005228,27.93217184062353,28.0,2211011
2010-05-24,28.134141293184896,28.290297622897008,27.84384367028789,28.0,1501545
2010-05-25,27.965983923719076,28.208234953433582,27.757748970285494,28.0,3578206
2010-05-26,28.00910438320716,28.055374714878116,27.953729668329043,28.0,1792778
2010-05-27,27.729976225029425,28.49008792992898,27.239888295100446,28.0,1569227
2010-05-28,27.970469120546706,28.292209793225318,27.67825932732139,28.0,1920370
2010-05-31,28.03272638649835,28.35835315219048,27.67437323430787,28.0,2163484
2010-06-01,27.978961713699917,28.06216280433894,27.916798909360978,28.0,1770016
2010-06-02,28.25740340537214,28.564534828618857,27.692868576753284,28.0,1879909
2010-06-03,27.890935816837768,28.09656716221592,27.79436865462185,28.0,2281217
2010-06-04,27.99989102213577,28.04857587170166,27.95131515043411,28.0,1167405
2010-06-07,27.900323508087457,28.090760598784836,27.80956290930262,28.0,2716331
2010-06-08,27.928327885731203,28.157826381277534,27.77050150445367,28.0,2378019
2010-06-09,27.884832803165516,28.03389643157356,27.850936371591956,28.0,1741150
2010-06-10,27.854494311480586,28.084970172238553,27.769524139242034,28.0,1708127
2010-06-11,27.982726620844613,28.048505825872823,27.93422079497179,28.0,2013474
2010-06-14,28.081003598228342,28.395624436368397,27.685379161859945,28.0,2410654
2010-06-15,28.017275605134024,28.422440942404364,27.59483466272966,28.0,1566554
2010-06-16,28.098697510294866,28.315993371645686,27.78270413864918,28.0,1660009
2010-06-17,28.22751152844543,28.400031564864932,27.827479963580497,28.0,1374410
2010-06-18,27.886391238807946,28.187964157724508,27.698427081083437,28.0,2874631
2010-06-21,27.931615022848693,28.094671268532323,27.83694375431637,28.0,2019082
2010-06-22,28.083633188310664,28.096613894297732,27.98701929401293,28.0,1945767
2010-06-23,28.046690680408044,28.406787656589884,27.63990302381816,28.0,1273098
2010-06-24,28.085775688777545,28.177919379586527,27.90785630919102,28.0,1983360
2010-06-25,28.009769372872945,28.140520849824224,27.86924852304872,28.0,1498933
2010-06-28,28.037288691831694,28.071523678699936,27.965765013131758,28.0,2188453
2010-06-29,27.907853491260994,28.122697011320405,27.78515647994059,28.0,2591628
2010-06-30,28.11781011248596,28.155591336309577,27.962218776176382,28.0,1761724
2010-07-01,28.153681960407244,28.224381298438225,27.92930066196902,28.0,3910136
2010-07-02,28.045534271953173,28.410544883013163,27.63498938894001,28.0,2833405
2010-07-05,28.13306406142201,28.2275207393222,27.905543322099813,28.0,1147698
2010-07-06,27.888656670533486,28.048033936135337,27.84062273439815,28.0,2189567
2010-07-07,27.80522524483647,28.04999447778369,27.75523076705278,28.0,2411526
2010-07-08,28.02986667024542,28.26627911817743,27.76358755206799,28.0,1958791
2010-07-09,27.853815204052385,28.12503087925507,27.728784324797314,28.0,1846267
2010-07-12,27.909662896424425,28.076203442448655,27.83345945397577,28.0,3809488
2010-07-13,28.233019583498496,28.682720786325106,27.55029879717339,28.0,1596935
2010-07-14,27.92513287696176,28.19078135173218,27.73435152522958,28.0,1660792
2010-07-15,28.13784293764256,28.163202514089278,27.974640423553282,28.0,1898672
2010-07-16,27.92724162215954,28.234229118762446,27.693012503397092,28.0,2403780
2010-07-19,28.103637170717867,28.112041768411615,27.991595402306253,28.0,1548493
2010-07-20,27.832184166936027,28.077542411430972,27.754641755505055,28.0,1912394
2010-07-21,27.89212281606945,28.018882022504332,27.873240793565117,28.0,2344479
2010-07-22,27.97621274389027,28.18007575342627,27.796136990464,28.0,3315791
2010-07-23,27.989705789448937,28.30881016276151,27.680895626687427,28.0,1731791
2010-07-26,27.910470632004458,28.017597085347813,27.892873546656645,28.0,2326400
2010-07-27,28.12272189401345,28.266068172508984,27.856653721504465,28.0,3037339
2010-07-28,27.903368707330475,28.059237040214946,27.84413166711553,28.0,2507082
2010-07-29,27.763964204374375,28.4028357435667,27.361128460807674,28.0,1494294
2010-07-30,27.955581481974814,28.17656444184268,27.779017040132135,28.0,1641995
2010-08-02,28.007388277725738,28.203060181827322,27.804328095898416,28.0,3040901
2010-08-03,27.959577230840168,28.33080194616002,27.62877528468015,28.0,1928551
2010-08-04,27.94869357210865,28.268197486899666,27.680496085208983,28.0,2519714
2010-08-05,28.07757532985199,28.378271339029308,27.69930399082268,28.0,2567727
2010-08-06,28.003576511874755,28.17811054858506,27.825465963289695,28.0,1830512
2010-08-09,28.178113438727845,28.207487669267426,27.97062576946042,28.0,1513437
2010-08-10,27.75228612164751,28.59113111288211,27.1611550087654,28.0,1439419
2010-08-11,27.99410761157506,28.531327123890243,27.462780487684817,28.0,5776348
2010-08-12,28.081558256007092,28.328629447488186,27.752928808518906,28.0,2138967
2010-08-13,27.975708692668707,28.25801310627232,27.71769558639639,28.0,2162904
2010-08-16,28.190751815242994,28.337977981899463,27.85277383334353,28.0,1021084
2010-08-17,27.76958596437273,28.0488325128299,27.72075345154283,28.0,4411835
2010-08-18,28.0826410237596,28.102832955424095,27.979808068335505,28.0,1625549
2010-08-19,27.879286139522883,28.16313418041536,27.716151959107524,28.0,2448477
2010-08-20,27.957315111090583,28.059398638295487,27.897916472795096,28.0,2452535
2010-08-23,27.926623534416862,28.155735166262016,27.770888368154846,28.0,2075290
2010-08-24,27.951178661191356,28.21096577009025,27.740212891101105,28.0,1433943
2010-08-25,27.840881363101122,28.102647475786835,27.738233887314287,28.0,2471575
2010-08-26,28.025661678706825,28.17763937238385,27.848022306322974,28.0,1066121
2010-08-27,27.883909678861468,28.14511150248347,27.738798176377998,28.0,1449370
2010-08-30,28.00155822012445,28.334747849686682,27.66681037043777,28.0,2218495
2010-08-31,27.84914134728542,28.07847869091755,27.770662656367872,28.0,1865432
2010-09-01,27.94158288250888,28.25219009340227,27.68939278910661,28.0,2454642
2010-09-02,27.891223671373425,28.027378522714734,27.86384514865869,28.0,2106365
2010-09-03,27.808117947725552,28.0052672125933,27.802850735132253,28.0,1732871
