,open,high,low,close,volume
2010-01-04,7.080776705143942,7.152293857797643,7.046292749534656,7.117809902188357,14985812
2010-01-05,7.141339559851023,7.155302873333206,7.104032571581153,7.117995885063336,4271649
2010-01-06,6.888512618566187,7.024880018802668,6.802040532632794,6.938407932869275,10994539
2010-01-07,6.948203617506398,7.064889653569932,6.863522045218767,6.980208081282301,6300270
2010-01-08,6.922800894128069,6.926687904950575,6.869610496183405,6.8734975070059114,4418282
2010-01-11,7.020059658193715,7.108280459735942,6.904173164254538,6.992393965796765,6219584
2010-01-12,7.06661035594876,7.076013496365621,7.054256788611527,7.063659929028388,5139551
2010-01-13,7.170307433793624,7.326732183531053,7.051273944702493,7.207698694439922,7886416
2010-01-14,7.29415509707442,7.415877722143979,7.226526245545735,7.348248870615294,4870296
2010-01-15,7.300858932574239,7.357819925012519,7.251844452241186,7.308805444679466,6771507
2010-01-18,7.521443952025429,7.5590800183202935,7.412205107676007,7.449841173970872,6267732
2010-01-19,7.693749914557765,7.7334808313026056,7.677388413878797,7.717119330623637,4157689
2010-01-20,7.617155369704647,7.667614385749589,7.518697284971682,7.5691563010166245,5900470
2010-01-21,7.669046417699069,7.6995377599041595,7.5943114977741395,7.62480283997923,5346659
2010-01-22,7.545944431047104,7.690081047571653,7.422712037348815,7.566848653873364,4567140
2010-01-25,7.478557526026613,7.604682755386071,7.37960191898486,7.505727148344318,6235126
2010-01-26,7.843613496117168,7.8500380988834975,7.724091307409808,7.730515910176138,11441524
2010-01-27,7.79931703789191,7.871245054151734,7.689448826535109,7.761376842794933,6562302
2010-01-28,7.954763195614486,8.078544862637967,7.778709206146436,7.902490873169917,10114105
2010-01-29,7.946826182255617,8.079403211834526,7.899372682935221,8.03194971251413,5749090
2010-02-01,7.830935372885567,7.914553455711743,7.741147124898259,7.824765207724434,7031717
2010-02-02,7.621624845649589,7.742961565580685,7.487063889896152,7.608400609827248,4231274
2010-02-03,7.614187693447026,7.709601845521503,7.5478181252373675,7.643232277311844,4456573
2010-02-04,7.7259253702925506,7.8344295630159015,7.671526167481173,7.780030360204524,10161217
2010-02-05,7.685767887925377,7.695229504056784,7.671565754900385,7.681027371031792,8775855
2010-02-08,7.628070063751437,7.705446543859212,7.5410848435116415,7.6184613236194165,5854593
2010-02-09,7.784908356603834,7.855575965005037,7.718750885528243,7.789418493929445,8962373
2010-02-10,7.926040966105262,8.025050903904921,7.922892641542699,8.021902579342358,9598095
2010-02-11,7.893823756397984,7.984357105234713,7.853402271466573,7.943935620303302,9659462
2010-02-12,7.8900964383112475,7.914421670300524,7.820571089163769,7.844896321153046,7138639
2010-02-15,7.898356013699786,7.969652173487657,7.830083537928273,7.901379697716144,7782341
2010-02-16,8.036806406807445,8.069005343298327,8.00170580193321,8.033904738424093,4810266
2010-02-17,7.820433637411259,7.880229673815601,7.784048110282131,7.843844146686473,4780301
2010-02-18,7.745166446191963,7.856178594718783,7.692642167291306,7.803654315818127,7060717
2010-02-19,7.936740953103597,8.056562929612983,7.8367680283578975,7.956590004867284,5707083
2010-02-22,8.035448063726017,8.063355004779499,7.965961104418362,7.993868045471845,3465517
2010-02-23,7.751471974600886,7.807496719730188,7.701421034325716,7.7574457794550185,4360842
2010-02-24,7.87920782504895,7.966141256603463,7.812845407867875,7.899778839422388,5508984
2010-02-25,7.876023955013491,7.915526382874572,7.868402557599415,7.907904985460496,5710043
2010-02-26,7.9224886909021155,7.954717099708414,7.78897502713895,7.8212034359452485,3688951
2010-03-01,7.949492605254734,8.007745129968447,7.89619676935841,7.954449294072123,7232632
2010-03-02,7.8936432615642556,8.001742411163836,7.8928217213185725,8.000920870918153,5503708
2010-03-03,8.066487019692621,8.166297087993318,8.034238372219058,8.134048440519754,7593536
2010-03-04,8.320496235245306,8.388925281390058,8.318869162232803,8.387298208377555,4019316
2010-03-05,8.270723552111933,8.355809802056426,8.26106682074072,8.346153070685212,4484456
2010-03-08,8.538731954274388,8.63275920319348,8.47229543534252,8.566322684261612,7752355
2010-03-09,8.35185220437567,8.40049887368622,8.340353998335544,8.389000667646094,6786787
2010-03-10,8.529665460509548,8.6730941966025,8.354814950421547,8.498243686514499,5140062
2010-03-11,8.277288239276459,8.370974419817156,8.196585367006099,8.290271547546796,6804164
2010-03-12,8.28231295917372,8.317493988062019,8.235402812457268,8.270583841345568,6891695
2010-03-15,8.168236073435173,8.242822689652106,8.130245714691654,8.204832330908587,8297606
2010-03-16,8.237680098577098,8.371565376644101,8.118168067728055,8.252053345795058,4531570
2010-03-17,8.258017719924181,8.267440465877511,8.235230452309224,8.244653198262554,7169040
2010-03-18,8.376005009523233,8.445322175818628,8.313303290648076,8.38262045694347,10456385
2010-03-19,8.3472401378532,8.39930264644833,8.343869658792656,8.395932167387786,7492468
2010-03-22,8.36401360907919,8.52116464556177,8.242830446683653,8.399981483166233,5384616
2010-03-23,8.47940299539199,8.593168339109045,8.475190534836907,8.588955878553962,7247698
2010-03-24,8.750663261112662,8.77384232601317,8.656456877804128,8.679635942704637,4677995
2010-03-25,8.618576779503998,8.629346198238267,8.609861445414605,8.620630864148874,5925143
2010-03-26,8.51775817958563,8.587789594293247,8.493955671566821,8.563987086274437,4722295
2010-03-29,8.373045419767234,8.559671919401154,8.143601819873023,8.330228319506944,4315487
2010-03-30,8.354519391615142,8.380985155402481,8.296190438801137,8.322656202588476,7339830
